Timestamp (s),Fx (N),Fy (N),Fz (N),Mx (Nmm),My (Nmm),Mz (Nmm),Fx_kalman (N),Fy_kalman (N),Fz_kalman (N),Mx_kalman (Nmm),My_kalman (Nmm),Mz_kalman (Nmm),Fx_Lowpass (N),Fy_Lowpass (N),Fz_Lowpass (N),Mx_Lowpass (Nmm),My_Lowpass (Nmm),Mz_Lowpass (Nmm)
0.0,-0.8645743038437028,-9.10394580746707,-1.004326231824134,-563.3281404814443,-11.110587030254777,-55.027563909242346,-0.8624547120831594,-9.104179551369437,-1.0072518129164942,-563.2950378128571,-10.725610722693943,-53.23994378086459,-0.8599964624563945,-9.102686282075085,-1.003773277643841,-562.7627025087077,-10.632788949959092,-52.808984814027326
0.10367631912231445,-0.8642322837003771,-9.063799568246818,-1.014938708817474,-556.9856116550822,-11.52306510312954,-54.82978310626176,-0.8635533117600362,-9.079223349334512,-1.012002575851283,-559.3955979978447,-11.218464634280593,-54.22251852061126,-0.8621143730783856,-9.083242925160953,-1.0093559932306562,-559.8741570818952,-11.077927026544387,-53.81938396014452
0.2120206356048584,-0.8702439454503701,-9.04404543124117,-1.109775662312492,-559.5583708503482,-13.384079447878605,-57.01773323923332,-0.867688350786938,-9.057482200299367,-1.072429666469291,-559.4961971531379,-12.556888195624396,-55.95005622257368,-0.8661791592643784,-9.063644178201061,-1.0595658277715723,-559.7162639661217,-12.231003237211553,-55.41855859968898
0.3105311393737793,-0.8585363328519147,-8.975737584940198,-1.0376108187577868,-550.6646714731974,-18.008302643173465,-54.95586836816199,-0.8620320926374447,-9.006961249610113,-1.0509104351344751,-554.0380141104168,-15.926047610971978,-55.335614337344836,-0.8623577460581469,-9.019690881570629,-1.0485883232646778,-555.1904677196596,-15.119652940192651,-55.18721348392552
0.4056253433227539,-0.848394120140219,-8.90257664615687,-1.0552661213921608,-542.4295101731884,-19.837520492747018,-52.2388545872175,-0.8536033620965229,-8.94244801677383,-1.0536023972860553,-546.8635641186729,-18.34347079798195,-53.42171155677377,-0.8553759330991828,-8.96113376386375,-1.0519272223284215,-548.8099889464241,-17.47858671646972,-53.713034035571525
0.5174903869628906,-0.812047902601418,-8.877673218536136,-0.9794351494215787,-530.5534066824823,-11.895069111802627,-46.958107147639,-0.8279206757104292,-8.902414989848518,-1.0077645172537704,-536.7833324612454,-14.358139382811174,-49.426984342094755,-0.8337119178503007,-8.919403491199942,-1.0156811858749997,-539.6816978144532,-14.686827914136273,-50.33557059160532
0.6330282688140869,-0.8284254056183586,-8.915381519279334,-0.9805928741844863,-538.3938652169547,-11.334661937156284,-49.46003430534196,-0.8282326159486684,-8.910428745752888,-0.9909715183067718,-537.7786964442687,-12.489527557178093,-49.44741034270858,-0.8310686617343297,-8.917392505239638,-0.998137030029743,-539.037781515704,-13.010744925646264,-49.89780244847367
0.7317781448364258,-0.8383571443957007,-8.921191559575114,-0.9766373145778786,-538.3224450910627,-16.922060857096966,-53.34889934394562,-0.8344899186489989,-8.91708053050961,-0.9821124932006491,-538.1147515893244,-15.228983792793656,-51.85866315220683,-0.8347129030650153,-8.919292032407375,-0.9873871723038086,-538.6801133033836,-14.966402891371615,-51.623350896209615
0.842357873916626,-0.820335313766617,-8.923743420410906,-0.9368887643846469,-530.5230404997685,-11.301411272484927,-47.10397048983698,-0.825741891734362,-8.921198422931909,-0.9541626916943526,-533.4228161032092,-12.801610481962541,-48.92010148080266,-0.8275241084158167,-8.92151772640914,-0.9621379683442282,-534.6015769015759,-13.133907081928271,-49.36366069302329
0.9427733421325684,-0.8317403700844386,-8.967649097469602,-0.9449928377250147,-532.8810320379824,-5.186754416345565,-44.14714748527895,-0.8294491552354899,-8.949906518596563,-0.9484954102694267,-533.087975136336,-8.095370613973131,-45.970253684829444,-0.8296322392501274,-8.944583411939371,-0.953565403034621,-533.7413044697792,-9.160330749136904,-46.755404089151085
1.0496468544006348,-0.8416984181035745,-9.053751616205883,-0.86617107678358,-535.8667066278404,-1.2774029585897893,-40.985126897628675,-0.8370196160250973,-9.014086318484171,-0.8976161740739963,-534.8053256436954,-3.8816348687486197,-42.88927589211171,-0.8356653286768512,-8.999167514072628,-0.9098682399091,-534.8040055488098,-5.2188668538633465,-43.87026549339008
1.1454708576202393,-0.8513933737047676,-9.125773331401803,-0.8960789664920812,-542.8939336659721,-4.401207359446687,-42.36464799841748,-0.8459030868171888,-9.083112688569216,-0.8966661275406063,-539.8043603231374,-4.202748327619389,-42.56503802236253,-0.8435293511908093,-9.062470422737215,-0.9029736032005902,-538.8489696073909,-4.810037106654818,-43.11745674590372
1.2565710544586182,-0.8765186996183072,-9.192622971510891,-0.9876356998255194,-556.0682985992692,-9.656573649816295,-46.04584319389157,-0.864824576114686,-9.150793765544789,-0.9528884151547246,-549.8560269687171,-7.573397745441753,-44.71629392658389,-0.8600240254045584,-9.127546697124053,-0.9453046515130552,-547.45863410333,-7.233305378235627,-44.581649969897626
1.3523612022399902,-0.8758609685734497,-9.213903668123667,-0.9050513334046304,-553.2270180522435,-3.214543240084083,-42.49567778039207,-0.8716454417673853,-9.189797830365231,-0.9233234727105586,-551.939414034109,-4.879477509115475,-43.34387767227041,-0.8679424969890044,-9.170725182623862,-0.925177992458841,-550.3428260777869,-5.223924309160083,-43.53866387514479
1.4658293724060059,-0.9160220261724221,-9.275626802089423,-1.0296032224809961,-564.3835149909344,-8.730478564418434,-51.80868134073506,-0.8990716792343265,-9.242843052110235,-0.9890079703845238,-559.6302913848623,-7.259527052004074,-48.57541404747644,-0.8919822615807136,-9.223175992356643,-0.9773906074699177,-557.3631705343605,-6.9772014367892154,-47.67367260793996
1.5692267417907715,-0.9240200356778834,-9.211101178098646,-1.0870070753085983,-566.2662037842355,-14.742707696338613,-52.196826166584316,-0.9144906114798914,-9.223225495104456,-1.0495747480946704,-563.7315107940415,-11.884387034158124,-50.81356982435568,-0.9080011486292978,-9.217138585227644,-1.0321988413892598,-561.8146871592979,-10.859954566564,-49.935249387262175
1.6697125434875488,-0.8785576658573635,-9.150631190079041,-1.057774525045132,-555.727669661426,-13.877198105322663,-48.090402244702176,-0.8922828297692678,-9.178359747209072,-1.0546424889502264,-558.7848649335308,-13.116012009294536,-49.130559703068116,-0.8932794072433312,-9.183884887653342,-1.0449866832171937,-558.771178410362,-12.368576335943516,-49.012825815982026
1.7652764320373535,-0.8667185070499366,-9.136003559216725,-1.1124770200926122,-553.2287798864074,-13.727046426193652,-48.16704230585725,-0.8764832094293495,-9.15218218339592,-1.090386194919633,-555.3510155300235,-13.493652047234292,-48.53507320283987,-0.8799989571466336,-9.159944223435033,-1.0787318516549007,-555.9999791483846,-13.047811381068556,-48.589934060919745
